"valeur_actuelle";"valeur_canonique_proposée";"actions";"pistes";"albums";"versions";"justifications";"validation"
"Massimo Guadalupi (NS)";"Massimo Guadalupi";"update";"79401646ddf67a45 · 28d32b75977d954f · 2e1421a5bbec9a95 · a8727ba12d615c93 · e2d620ad02f93bff";"PGO0006 · Acoustic Trip · PGO0002 · Parfum Pop";"Main";"suffixe-société · suffixe-société-et-identité-structurée";"pilot-pending"
"Mathieu Livio (NS)";"Mathieu Livio";"update";"f2bce59b49b9dab1";"PGO0015 · Reggae Experience";"Main";"suffixe-société-et-identité-structurée";"pilot-pending"
"Mellow Mood (NS)";"Mellow Mood";"update";"25f7df751c1f6f14 · e1b87e78c5677650 · 699494de1b15e890";"PGO0015 · Reggae Experience";"Main";"suffixe-société-et-identité-structurée";"pilot-pending"
"Michael HAVARD (NS)";"Michael HAVARD";"update";"a6c9582fe97bf9fc · edfc1b05824ed0b4 · 2264a41547610aba · c3c79a9946cf2f4b · e0e9309227f5ec68 · 03880f302ce16a4a · 60390a1ae0e67caf · 48dacc20ba776f29 · b76e9e3a67f6168f · 5c07ab4e06066911 · 6b7f9c1f5e8629dc · 0da0fa5627422a83 · 497161884cec9b2d · 84cba2df77996461 · 6e449d10caebc6d6 · 421dbe3d25331f0b · 0bc592729c715851 · 9037e4465d6563c5 · d2468a2443d87ca0 · a5beebf286bd5188";"PGO0030 · Afrobeat";"Main";"suffixe-société · suffixe-société-et-identité-structurée";"pilot-pending"
"Michael Havard (SACEM)";"Michael Havard";"update";"8e1dcf6aa9ac6d33771f862a0c9d5786 · 520602865841b7b134578cde6a14e399 · 12e7d98d7fef071d3966e5b2f77ab9ae";"PGO0048 · Solo Piano Vol.2";"Main";"suffixe-société";"pilot-pending"
"Mikael Sala (NS)";"Mikael Sala";"update";"72c4576672942f15 · 5b2082fb60d0f79b · c44ea0446476559b · 6d1311278a554eb5";"PGO0014 · Vintage Rock And Remixes";"Main";"suffixe-société · suffixe-société-et-identité-structurée";"pilot-pending"
"Mike LADD (NS)";"Mike LADD";"update";"c3c79a9946cf2f4b";"PGO0030 · Afrobeat";"Main";"suffixe-société";"pilot-pending"
"Minimatic";"Minimatic";"no-change";"5f2a57239026b843efe68489cb48b0d8 · e51d91bf92236818";"PGO0050 · Riviera Bizarre · PGO0016 · Pigalle Bizarre";"Main";"déjà-canonique";"pilot-pending"
"Minimatic (NS)";"Minimatic";"update";"79342cda8958d796 · b715ea1525c3a4f1 · ea5e907278bf9187 · c49c33cd10eec297 · 7f1b8d82b0377660 · bdbf91035d259a5d · 9542529434c8296c · 30e90fc7492f9840 · 3456cefba82cd2f2 · 49a53082991b2053 · a69da78455075640 · 2e14adae6f3e3534 · d724d3699372c834 · 242f291268239396 · b424037ef2f2bc27 · 1f57c6ce263e7702 · 6b5fca7a7b5f08ed · 899d7039c42b053d · 95fa8f055661c431 · d6dca6b4d910e6d8 · 3ede8947b3f6960d · 286e8d844315f2b2 · f9ff2ecf5a522f88";"PGO0016 · Pigalle Bizarre · PGO0005 · Electro Kitsch";"Main";"suffixe-société-et-identité-structurée";"pilot-pending"
"Mister Modo (NS)";"Mister Modo";"update";"5d770bb2d9a3d9ef · 830aba9842658ea5 · 880d3736115399e4 · cf3ce5d6307575c6 · 179562a644a0dab0 · 5fb6e7cf31c3e05b · 44d3e07e83627787 · a7354b8bb089c92c · d8047327d006a403 · 4028893f3e2d053e · 21843ab8a99d4052 · bb65992a96970c08 · f407926454b7549b · 80151fe83f76e4a8 · efc038ed2c176f47 · 69a4f555de4b999c · 316edaa4ca9e0cb2 · 4789918d50a618eb · 1630a657725777ad · 7d1dad476246d156 · cbda0a3e3e4acbd4 · 16eeddece6b07afa · 290a59f41c422df1 · 96d5042e5b85925e · 446a3b6d688eaace · 55b62320eea3cbf2 · afdd0475710a2f79 · 8498172502190b6c · ac2d28787795ce16 · c99d1af787a1b729 · 4ad193fce63a0380 · 7efc3a491b33b4b1 · 600c407018e20093 · cdfcdc1aee4fe75b · a0d9ad22ef744a0c · 0cb9620b576fe7d9 · eb0eab154dc1c2be · 0bc646e3b26ac0b8 · fc84ecfffcdb7f00 · 3b751a9ab6d88e17 · 28b8dc05d2711804 · b651ee6982adac6e · 8320b6522d74b497 · 80db6892b3649010 · c839b20221deaf38 · 0e5297fdc46a38b9 · 295ef098364e7d51 · 74a2155e6c6702fb · 65fbf6c7231251f7 · f2c4b446ca95346f · 730c2b582fba7cf9 · 7f4c1f1c519d5972 · 1dbaab6d0929391a · bbb22cb6797bd306 · 50a1d419f075fcfc · 517598f910026e1a · 3c6e8cd390dc1aee · a89ff268ddd4ba1a · 1dbd3f337f79abe6 · 71b54358e921c7da · 928c743c9cb92e82 · 6984238f7b21078f · 1631694bda1303ec · 52f2faeff60a8483 · ddc2edfa32e77744 · edd46b43b8124eb8 · 5ddde6b8aef65a1f · 4334737cf67ab7ae · ecd9bceaba6819b6 · 6469dcba84865a10 · c986336589e0c690 · d56bca8cf619c86f · 021a2fc655298df1 · 34fcb78df0013039 · be53beb59939b0a7 · 540f7b9013df5cdb · 36ab7d1d9583cfb3 · 28f0dce98f4c5927 · 5a41ef6f4968f58f · a87a9b825841d38b · 85aee919bd9a5933 · bf4eb8fad8bafd61 · 36792d2ca886eb3e · d889ff9ba064c76c · a2977db6b74df794 · 8c3022d2551d5ec8 · 08a8fe36c30e0e21 · a90cdc32c765ee48 · 80e0415cb7ba47e7 · e62cdd4846e8178f · 07f6af22ad034e01 · c4e60cd5a360ebe7 · 04d2ce1f21f9c80b · f71872d45bb6d43e · 63876677608324f5 · cae1918ad18cb401 · 760c0f007e29364c · 25dd1db4da974f0a · 5d7b51c072ae0d3a · 344dcc5ca9ea954d · 93146cc2ac13c9a8 · 3b7aec7f1145774a · 3a348575a12dc1f6 · 5084f1ba51798a90 · cc13fb64a56c35a0 · cf0dc4d398c7ae44 · 5cbb14822c38d2c4 · 90a4258f1918fe30 · 1b08beace9de6bba · 2bcc7917896446e4 · de64d6e380833107 · 2ea120c885f3d356 · 9b03b8ce72f1d119 · 4d7b6b78524823a5 · 4d61b4ab2edae713 · eb35b4c591906397 · d200f221afa4de18 · 6b39af7098d09548 · 2d41669ded51cf29 · 2e65b94566fa2206 · 0da9d406fe7f2995 · f95a745a7a94bb80 · 37f71dc1ce4b1bc2 · 952fce9fce1e0cd2 · 9c3d6bbce1a6be3b · e14ec16085f0c040 · b2c523f30e256915 · e75ccb9fda5cbcd8 · 8f1380332bff1200 · 50cbf3fb9232da34";"PGO0017 · World Hop · PGO0013 · Dark Ambient · PGO0012 · Urban Crime & Riots · PGO0007 · Diggin Hip Hop";"Main";"suffixe-société-et-identité-structurée · suffixe-société";"pilot-pending"
