"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"alternate";"composer_avant";"composer_proposé";"action";"justification";"artist";"publisher";"ayants_droit_structurés";"validation"
"PGO0055";"8b271091f733803b";"The World Wedding March";"59bd34cbe458b79391b491f7bb0e1bc1";"";"Disco Funk Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"64e3fb05b8565e63d331efbc6a2fe9f7";"";"Disco Funk Wedding Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"42a90028176b51b538fa58f4f8c54102";"";"Disco Funk Wedding Underscore No Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"1302c8b3463d4ae3f90149baa65ba2f3";"";"Jazzy Caribbean Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"7e220830df196ebad8c4ac23c0e9774e";"";"Jazzy Caribbean Wedding Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"06a2161061717be470bdfb6a2afe6fff";"";"Jazzy Caribbean Wedding Underscore No Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"4fdf9a9d84d88b391e22ab6b3941142e";"";"Jazzy Caribbean Wedding Underscore Rythm Section";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"945d2a789226570d4e74aebea2e0848f";"";"Memphis RnB Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"ed0df72ed6b5352cc3bd8d4186e39c94";"";"Memphis RnB Wedding Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"76d498a5b8db4726a43c2ca10f3ce5d9";"";"Memphis RnB Wedding Underscore Rythm & Horns Section";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"e2092c9dd7a4f0ab7f54073a0cc72d11";"";"Bossa Wedding Cocktail Party";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"e1b0452709c5c3a7e119a2c5a300ed50";"";"Bossa Wedding Cocktail Party Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"f3d20da9bf4e34c91ff9babd6c0c5930";"";"Bossa Wedding Cocktail Party Underscore No Drums";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"f0eb3d80e597e62a55c6a7cae279c1ef";"";"Bossa Wedding Cocktail Party Underscore No Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
