"valeur_actuelle";"valeur_canonique_proposée";"actions";"pistes";"albums";"versions";"justifications";"validation"
"Aristide GONCALVES (NS)";"Aristide GONCALVES";"update";"a6c9582fe97bf9fc · edfc1b05824ed0b4 · 10f704830aaa4ea8 · 17602dabd348eb5e · 2264a41547610aba · 5bf253fe29dbdd82 · 3c2016692cba9244 · fc8ace609d8e6a82 · c3c79a9946cf2f4b · e0e9309227f5ec68 · 03880f302ce16a4a · 9bb82ec91cebc629 · 324689b2ce88980d · 60390a1ae0e67caf · 75326a0ef2b9b97e · fe689af185b287d7 · 48dacc20ba776f29 · b76e9e3a67f6168f · de5b1869061864e1 · ef71301b5fd68cc7 · 5c07ab4e06066911 · 740bbf5553300a3f · 8c1e434ee020a701 · 6b7f9c1f5e8629dc · 0da0fa5627422a83 · 20a05b30cf6479bd · 2af8684974217b91 · d55e871078e9eb6c · 497161884cec9b2d · f6057f6a8fa6302d · 9e07f3c471b24db3 · bd41714f86c1a360 · 84cba2df77996461 · 8664e792800226ad · 4b5e451ac569353d · 4c0859e9a8f8eab8 · 6e449d10caebc6d6 · 421dbe3d25331f0b · 0bc592729c715851 · 9037e4465d6563c5 · b9b03082b245eb7c · 824b3ba9ea658d29 · d2468a2443d87ca0 · a5beebf286bd5188";"PGO0030 · Afrobeat";"Main · Commercial · Alternate";"normalisation-mécanique+identité-canonique-courante · identité-structurée-courante+identité-canonique-courante";"pilot-pending"
"Arnaud NGASSAM (SACEM)";"Arnaud NGASSAM";"update";"163a7e9549d20509 · 37e1717cf86beff8 · 187caddf5ac70100";"PGO0027 · Future Beat";"Main · Commercial";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Arnold TURPIN (NS)";"Arnold TURPIN";"update";"a6c9582fe97bf9fc · edfc1b05824ed0b4 · 10f704830aaa4ea8 · 17602dabd348eb5e · 2264a41547610aba · 5bf253fe29dbdd82 · 3c2016692cba9244 · fc8ace609d8e6a82 · c3c79a9946cf2f4b · e0e9309227f5ec68 · 03880f302ce16a4a · 9bb82ec91cebc629 · 324689b2ce88980d · 60390a1ae0e67caf · 75326a0ef2b9b97e · fe689af185b287d7 · 48dacc20ba776f29 · b76e9e3a67f6168f · de5b1869061864e1 · ef71301b5fd68cc7 · 5c07ab4e06066911 · 740bbf5553300a3f · 8c1e434ee020a701 · 6b7f9c1f5e8629dc · 0da0fa5627422a83 · 20a05b30cf6479bd · 2af8684974217b91 · d55e871078e9eb6c · 497161884cec9b2d · f6057f6a8fa6302d · 9e07f3c471b24db3 · bd41714f86c1a360";"PGO0030 · Afrobeat";"Main · Commercial";"normalisation-mécanique+identité-canonique-courante · identité-structurée-courante+identité-canonique-courante";"pilot-pending"
"Assitan KEITA (NS)";"Assitan KEITA";"update";"a6c9582fe97bf9fc · edfc1b05824ed0b4 · 10f704830aaa4ea8 · 17602dabd348eb5e";"PGO0030 · Afrobeat";"Main · Commercial";"normalisation-mécanique+identité-canonique-courante · identité-structurée-courante+identité-canonique-courante";"pilot-pending"
"Bastien Belmokadem (NS)";"Bastien Belmokadem";"update";"f2bce59b49b9dab1 · b2f71b934abab5dd · f40510b52a981bce · 565b01c84208c64a · e3d1093fe54e5830 · e4f1e4d7b35c7dd9 · 6d75c032c1f0937d · dd6da7702204e65b · a8eda23b279546dc";"PGO0015 · Reggae Experience";"Main · General Underscore";"identité-structurée-courante · normalisation-mécanique · identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Beat Assailant (SACEM)";"Beat Assailant";"update";"163a7e9549d20509 · 37e1717cf86beff8 · 187caddf5ac70100";"PGO0027 · Future Beat";"Main · Commercial";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Benoit Bernardi (NS)";"Benoit Bernardi";"update";"72fcd33b5a0a8c7f · 018ac62bd0d88c23 · 6e4889c68c1cf34b · 87ce421b1c587f75 · 5b22e0f3c6698c84 · 95f487418f0f596b";"PGO0003 · Electro Boutique";"Main · General Underscore";"identité-structurée-courante · normalisation-mécanique";"pilot-pending"
"Bertrand Gueugneau (NS)";"Bertrand Gueugneau";"update";"25f7df751c1f6f14 · 58e89e874c56f57c · c2e9947032dc0634 · e1b87e78c5677650 · 5deb2b7a875ac43f · a0f1ea8f40a2e7e9 · 699494de1b15e890 · 67af0ccfc76c2572 · 206edd3fff2ad664";"PGO0015 · Reggae Experience";"Main · General Underscore";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Blankalfe (NS)";"Blankalfe";"update";"699658789624d483 · 78e395801c17f491 · c429e98be8568e6b · 12efeed580b56b20 · 8a54f0aba67b4695 · c321e63ed55297b4 · 3b97431f4b9f7a6f · fc32e6b08e9d59bd · 9d4d5b5aaf3c7eb8 · c5c1c3a1a3859b9d";"PGO0032 · Diggin Hip-Hop Vol.2";"Main · Commercial · Alternate";"identité-structurée-courante · normalisation-mécanique";"pilot-pending"
"Bonetrips";"Bonetrips";"no-change";"086564484c5ce1bbc961900d97eeb525 · 86decdac28a9ff487d1dac46975c77f7 · 0ef75eda94e21c1d1778fc0bac555f40 · b8d4de035ab48850d34e62595d0741e5 · 8a4a58206e64dee3b49a8050f2adf482 · 87d7da6a5bb152bb4b1e1b3f318ce3dc · f5b896f8a99a2adeaef891efc176f9dd · 891636f0736303f94e62c764b104e3ae · 91357618e027a8d26186ad728b726b19 · a3d445b7bec643e2a4b5b820d2b48364 · ac96c86fc428b62cfe6fa1892a9a7b4a · a47a79e1b4b4bbbda21c3b49618e04a3 · 049f591435687c149fc07a8f95906377 · 21f7c803333593c97083cb0d87f64360 · d66caf51626bd01600d66856e9d5a8fd · 705cd6302dcccc815255ef9def3fad43 · f65a1303d4c8740cc5baafa318158537 · 2ca8e4e84514705ecce88d33d51cc4c8 · 1ff0ce8b40c95b2110e6f77db41fef6b · 74f83d3f58b9fa2ee6881146f11992ed · ad86d9c188da533540c09bdfc0472c65 · bbb65eb913ed4e2e8e958b49bbc4deb1 · 683c0375eb4c59b313c78fa747c01171 · 76b055e762c4430d4e867e49e77d0ec9 · 7317e9e593bc409e65332782381c3c4b · c0dd11edfe0bb01796d653effd2669f5 · 95ebe1b93fe559c1f7ca9668aabe66d7 · b4eb3232c96971e433d1c09ce64d7ac1 · c8623fd27492f51c96827aad4fc80a14 · 231c4f05a8b607a2683fe54aa92678f0 · 57f236c1cce888ab48bb7f5aab77f68d · b88d40f0013beb9cded1ded54fce10f5 · bbf883ef9c620e26b40da0816eb5e5ad · a7c7bc5ff6a6cf5e55303eec3a391ec5 · 2c6092025e222f6c27fd03f6150bfc51 · c5279d6030c10b422008688a6fd58988 · c1f092d882215d394e81a84a877daa8e · 87a4f9a305ecb45fe37286b194b69b3a · bf96bf710c23c0a8b6bbd7a968c96a36 · 277e5e29785ae530fb7cd07ded9b0641 · 8e82029134bbf559148b5c2c07b03cd4 · e53af54ad0f98a17c346955708f5953e · 5979ecc80f63bb7899a91318b727215a · 8ab79b31cbf4fe49d6838001cd17a3aa · 59020b24ef4244b53975ba47e6444a1d · 9612cb22a30bcf68a4f4b59208f7e338 · 8453c96ef63d4fb0ab787d8b2c5a8e72 · 6d0cef063d275a80ee2d0027f4f77d65 · 08ae364aa8236f175a126882d066b4c2 · 30bb9e574370d5c97a70f95dc62b81d8 · 3660699b1f841826d19b2abc242bcabf · f63aa10b3f0590e580d68cc8dfc04fdd · 1c39dfca22329f1bbbad9b086f16016b · 30762f1584427d52f3dd602731851eb9 · 9e4db0032c88cf46f7feba4dcfb7290c · 7636d0989865c8b77ab2d739cccff9fc · ac507278cc5df5a04df14497e41a2911 · c86973bd5eeb4e9016812edb195dd3d9 · c08274db0d0d0b5249d8d3c172c07e91 · 125f56a2db8910b1a7964079e4f32e51 · 389ecad7e4ebf718c2bdddf7cba53c3c · 56e007019da368d28c3aea8cc34eff6f · 02bc0f2e2a0e4eec61b39028fbb619ad · 5adbf71dad8745b2ba5c31b42a563fc9 · 79662e184b781d60b6e26b40cdf748fc · f7f8b8a7603d93aafc86870fa2f23c0f · 17d9d6b5ec24be56420d2b1de70a7598 · 700a605c4396ffbc13e9480921e0504b · a6858d7e0cb170dbc586009a07c80db2 · e97f91f9c2a3c39afd01a1706d09515d · 64a27c3cef5d4184a443b3fee87a1526 · 1069ebc204210785faacde2d34f8ee3d · 23fc751557bcb34b46e4f430b20c573c · 3d34988b649c8bf9769cdb45fb358764 · 6366bc3ba2a1e301e040b85f65b910a1 · a30025cb20ef6294b05458a31fe1d071 · 0f06274c1e2dd25f44ca0dc660a217e9 · d7c4ba80146599b27d8cf6022b382bb1 · 516e9b4ce211f181168b9c1b795489f8 · 66e4567ec413c390e4455d91dbf841e3 · 7abf09e4bad698e8c3c1363e230df031 · 4f3c8454f566a55dbc0613de81dbe474 · 4d018e4405ad3d152ae8d70dfdaa3e26 · a5c1b3829b6fb09ee1d849a1dcfcf94c · fa7aa71b4c262f2b2a581d7165cd203e · dbfec35fb3d0298e9fd11f9c1d02f6ff · 6bd87d6d7b5211b8123338f62165dfa7 · 602d13367cdf143d147a10e55b44a1a5 · d88f93c68331c7666877d5d93687ea5c · f7251b6a368b41bbc5ebc300821f4067 · 915047c6e01b774b9fbe79e12700478c · 58dd86eb8f396bfccc0e0169978b185d · a6a58436c08ce8f7d92322882d127726 · fa91b09566452b246277333843a31284 · 253e5292fc317ad907bd2c9cea74f4cb · 45595ead4e29d56b79d1d46ac6f60d78 · adc2dc082680fd177a0c925933065969 · 5ba20dd2348a2511e59518552151aed9 · 35f144af08f3d3259fd024a96ee7928a · ed3374177b8ec4b2c51d2f29e940f424 · 318299e52e6d49431f46db082511d993 · df883ba92d26dd9a6c9f3109e94c0926 · bc559a9ba78b5f38272dd788c350f86d · 0d5259164e8952fa77d59c382b3abe4a · 914acd5c5df537b0a837cc0a08817071 · 081d230fb317215d6306b8c576050341 · 69fd53f9918ef5e855d32ee34e5b9dfe · bb5e90a68dead1773cbd2aa68e496d85 · 76def836627f970e974eee58d60f25b2 · 5248b484ad97683af56e3ccde39fb26d · d85a114b5f9db934b3440e7504a8e6b5 · cf5250321483373bd25a60d17517567f · 887698e5b90c8ab03e5aeca46e0e2af7 · 83eac8f22e9184b0ad8246e640857b78 · 1a0fc806b1523520 · 29ea2bdbd13bc99c · 4f1a7db348a3a83a · 000981980cdfa34e · 2754dfa92efa3a7d · e6edc2b383a014db · 3606cc330d10ca7b · 167054375058a110";"PGO0051 · Lofi Hip Hop · PGO0032 · Diggin Hip-Hop Vol.2";"Main · Stem Bass · Stem Drums · Stem Guitars · Stem Piano · Stem Synthesizer · Stem Vocals · 60 sec · 30 sec · Stem Synthesizer 1 · Stem Synthesizer 2 · Stem Vocals Fx · Stem Guitars 1 · Stem Guitars 2 · Stem Synthesizer Flute Guitar · Stem Synthesizer Saxophone Bells · Stem Synthesizer 3 · Stem Synthesizer 4 · Stem Synthesizer Fx · Stem Strings Saxophone · Alternate · Commercial";"déjà-canonique";"pilot-pending"
