"valeur_actuelle";"valeur_canonique_proposée";"actions";"pistes";"albums";"versions";"justifications";"validation"
"Fabien Girard";"Fabien Girard";"no-change";"8e1dcf6aa9ac6d33771f862a0c9d5786 · 520602865841b7b134578cde6a14e399 · 12e7d98d7fef071d3966e5b2f77ab9ae";"PGO0048 · Solo Piano Vol.2";"Main";"déjà-canonique";"pilot-pending"
"Fabien GIRARD (NS)";"Fabien Girard";"update";"a6c9582fe97bf9fc · edfc1b05824ed0b4 · 10f704830aaa4ea8 · 17602dabd348eb5e · 2264a41547610aba · 5bf253fe29dbdd82 · 3c2016692cba9244 · fc8ace609d8e6a82 · c3c79a9946cf2f4b · e0e9309227f5ec68 · 03880f302ce16a4a · 9bb82ec91cebc629 · 324689b2ce88980d · 60390a1ae0e67caf · 75326a0ef2b9b97e · fe689af185b287d7 · 48dacc20ba776f29 · b76e9e3a67f6168f · de5b1869061864e1 · ef71301b5fd68cc7 · 5c07ab4e06066911 · 740bbf5553300a3f · 8c1e434ee020a701 · 6b7f9c1f5e8629dc · 0da0fa5627422a83 · 20a05b30cf6479bd · 2af8684974217b91 · d55e871078e9eb6c · 497161884cec9b2d · f6057f6a8fa6302d · 9e07f3c471b24db3 · bd41714f86c1a360 · 84cba2df77996461 · 8664e792800226ad · 4b5e451ac569353d · 4c0859e9a8f8eab8 · 6e449d10caebc6d6 · 421dbe3d25331f0b · 0bc592729c715851 · 9037e4465d6563c5 · b9b03082b245eb7c · 824b3ba9ea658d29 · d2468a2443d87ca0 · a5beebf286bd5188";"PGO0030 · Afrobeat";"Main · Commercial · Alternate";"normalisation-mécanique+identité-canonique-courante · identité-structurée-courante+identité-canonique-courante";"pilot-pending"
"Fat Hed";"Fat Hed";"no-change";"1a0fc806b1523520 · 29ea2bdbd13bc99c · 4f1a7db348a3a83a · 000981980cdfa34e · 2754dfa92efa3a7d · e6edc2b383a014db · 3606cc330d10ca7b · 167054375058a110";"PGO0032 · Diggin Hip-Hop Vol.2";"Main · Alternate · Commercial";"déjà-canonique";"pilot-pending"
"Ferdinand Berville (SACEM)";"Ferdinand Berville";"update";"d8a560cc9623ba07 · fc1b2d5db030b326 · 8d713ac12e1cdcb7 · 9ae0d31cb55f47c5 · 3521f3295356cdf8 · d8951383f162064c · b8d95aacfd7ff25e · 782b203eeaaf69b4 · 1837976e8ad5b076 · 6c97968b665a5c89 · eb7e0bf7c7307214 · a216382e4809d911 · 472d397b9f146616 · 99438aa21040dc63";"PGO0037 · Quirky Jazz Parade";"Main · Commercial";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique · identité-structurée-courante · normalisation-mécanique";"pilot-pending"
"Flore Morchin (SACEM)";"Flore Morfin";"update";"01fc04488557da77b813d65bcbe5ef63 · a54a0e88d95a7970b367f2e6c3d1b301 · c75060cc4017aca8068e1f89ce64d54a · b1f2b29ce00f5e6c136ce61d26c71e98 · 552facd9866da17932ec7f9a9994da4d · e7a905a3c1fa953574cae3d7daac5d6f";"PGO0049 · Odyssey Suites And Remixes";"Stem Synthesizer · Stem Strings · 60 sec · 30 sec · 15 sec · 6 sec";"identité-canonique-courante";"pilot-pending"
"Flore Morfin";"Flore Morfin";"update";"5640e142e43c8014af3db832b13ee61a · 15924ddb986967d06a98faaeea6deede · aa354a65ef3409a815d5b3503cb77a3b · c46998e94ef2ba0f40e66f13b0164aad · 8793022b8d9b27b160454c953851da7e · 4d1e88c5cdba31a3924276b7a1473bcf · 919e66e2846f2bfb60e4a88c8509323b · 2a27c83f88659918b0f6c4a1d4c346bb · f3ddc0627919b751a76bc5a615d77da0 · 75cc6b5171ab93d57f3b0a6881c87098";"PGO0049 · Odyssey Suites And Remixes";"Main · Stem Guitars · Stem Bass · Stem Fx · Stem Synthesizer · 60 sec · 30 sec · 15 sec · 6 sec";"identité-canonique-courante";"pilot-pending"
"Florent Berteau";"Florent Berteau";"no-change";"8e1dcf6aa9ac6d33771f862a0c9d5786 · 520602865841b7b134578cde6a14e399 · 12e7d98d7fef071d3966e5b2f77ab9ae";"PGO0048 · Solo Piano Vol.2";"Main";"déjà-canonique";"pilot-pending"
"Florent BERTEAU (NS)";"Florent BERTEAU";"update";"a6c9582fe97bf9fc · edfc1b05824ed0b4 · 10f704830aaa4ea8 · 17602dabd348eb5e · 2264a41547610aba · 5bf253fe29dbdd82 · 3c2016692cba9244 · fc8ace609d8e6a82 · c3c79a9946cf2f4b · e0e9309227f5ec68 · 03880f302ce16a4a · 9bb82ec91cebc629 · 324689b2ce88980d · 60390a1ae0e67caf · 75326a0ef2b9b97e · fe689af185b287d7 · 48dacc20ba776f29 · b76e9e3a67f6168f · de5b1869061864e1 · ef71301b5fd68cc7 · 5c07ab4e06066911 · 740bbf5553300a3f · 8c1e434ee020a701 · 6b7f9c1f5e8629dc · 0da0fa5627422a83 · 20a05b30cf6479bd · 2af8684974217b91 · d55e871078e9eb6c · 497161884cec9b2d · f6057f6a8fa6302d · 9e07f3c471b24db3 · bd41714f86c1a360 · 84cba2df77996461 · 8664e792800226ad · 4b5e451ac569353d · 4c0859e9a8f8eab8 · 6e449d10caebc6d6 · 421dbe3d25331f0b · 0bc592729c715851 · 9037e4465d6563c5 · b9b03082b245eb7c · 824b3ba9ea658d29 · d2468a2443d87ca0 · a5beebf286bd5188";"PGO0030 · Afrobeat";"Main · Commercial · Alternate";"normalisation-mécanique+identité-canonique-courante · identité-structurée-courante+identité-canonique-courante";"pilot-pending"
"Francisco SMITH ANGULO (SACEM)";"Francisco SMITH ANGULO";"update";"fa1272f633e71105 · eace439b03f45a11 · 2c684b776970de5d · 3104888d2b3cbdcd · 53c85d6f071fb7df · cc88351982da48d0 · 59a2ec904de4ef08 · b1358f5138902a06 · e52039e5d3bc7190 · 927483eddd838518 · 124772409ab5e6de · b155f752d80ffa49 · 2792708658673288 · 0e0f69cd94f39e03 · 813ca907577529dc · 75dda93bbeb0df80 · 9b5cc81cd00b3be4 · 9493296d334383d3 · 275bc5de2180cef0 · 833387cf93870cf7 · 1e723d3dda298b31 · c310fd0da85e536a · 6cf8c79e3cf8cf30 · 42c79ac378f05e2b · a8d76dc2b1487f80 · 8c2345617d2b0729 · 7c92eb92ee8c3d7a · 9298364b71ace450 · 330c7e4348ad84f1 · f50e908baad1244b · 153806cae429ed7c";"PGO0026 · Latin Experience";"Main · Commercial";"identité-canonique-courante+normalisation-mécanique · identité-canonique-courante+identité-structurée-courante";"pilot-pending"
"Franck Lepretre (NS)";"Franck Lepretre";"update";"72fcd33b5a0a8c7f · 018ac62bd0d88c23 · 6e4889c68c1cf34b · 87ce421b1c587f75 · 5b22e0f3c6698c84 · 95f487418f0f596b";"PGO0003 · Electro Boutique";"Main · General Underscore";"identité-structurée-courante · normalisation-mécanique";"pilot-pending"
"Franck SINNASSAMY";"Franck Sinnassamy · Franck SINNASSAMY";"update · needs-review";"911a4bf3c2aff655b25c22aeb114f2c7 · 7419b3670cca5649aef2ced954dd5d7c · 7087142bab4a69f78d0af28ed1a19e01 · f42ef304843d1f9d9989eeafa0f065c9 · 8f9b9efdaf26fbf9ac63726d001fb7fb · 36a080f37863e5a174e2940d44bf2dbd · bd2ff42e4e7d3fef265a3853eec53d00 · 2240b9d16155696549fd91bd9e9548a1 · 0f254dfae1e3018abbd2f290d29bdf0f · 66d1d59ecf1d1820694899e59669ff70 · f7a9d2b33c8c6d7637f997ae826c59c6 · c8b63517cc441976b48a1783be79f0d8 · 44cdba4b541410fcaa3a69746acfb265 · 9fe5d9acff01d1661c7fe94b2a2dda14 · a25dbf82dfa4e721e161b55705e356fc · 014590e25276c04e3a49342d75d1f40a · d77ef31dea21c6999d046d82fbf27caf · f0ed97c954d816f69b4af0f49726bd6f · 687e538a68b2c6cbb580d6672a09f2a6 · 0ea96f61b90fc4de3a2b50370bb5e5a1 · 23b92c9b02375642f77e44705437fccb · 6cb067966a1b47168a4ef235c1aa91c3 · a406e3ae1be621b691dcaa30eb129229 · e2f61cce06bbc17a52d02d05d3934b1b · 4056690fe6ec3c008c32d42755b47d7c · 8ae84bd7604db0ba1e91278d3441d7bd · 26fd4a99e39932dcd8e2d2d5908357cf · a38077252840730d43483ff261d159d1 · 4ca5d736c3bbabaac2c4d3ea2d22fb58 · a0b6ce57b85d5d354c806d2393f6c992 · 26b304102cecb703d4379caf05f73f8d · 57bfc80f7c63122a53162fadfd7eaf99 · 5f06e36674fea1ca2c7d3b6e33ad8191 · b40f48019f19e45d0f249b2dd106d33a · 6b1e7fb117b4b81a7b4887931c259a10 · 8050b13f902b3d1342f3356c5b42324d · 0851ac72bb7717213d2a54eed1a67851 · 120198834be6c1f91257c6ffe6e5f609 · b6116d09cb434b1af47d633800cc9526 · 4aa21c4e6d1d219a1774f142a45ce826 · e51038a5ed545715518dbf23ad34f992 · d2367dd0b2bf0d96cfea4b64a7ff3a98 · c02a97848d1535c2c68a60a4059b5458 · 4801f9728ed0e59cce89ba30cddd87a2 · 7b30f2d4a1914434b019d2951f307ae4 · 7babb7072911d75db4d2db52ac8947ae · 75d7bce7349e431cd6546e5e6f3bcb41 · 677d4cbc710b54214958ef42ef4f2ab6 · df4510577d711c9e11a476057b08083d · c845d3b16128476e3d1cbcdba381dad5 · 35e0fe0c4946113ad3b0f3f53311e2aa · a5a7988a6f8fce39e43b242fd9ff8a89 · bf6e2135d65dfe507c576b124faf636a · 3d766cb26fa5876c9e075c1891164990 · e596baf145a8e53a7fc9ebd0ffc118f8 · c0b3dc545f2442b02161e4ae92092304 · 1a9956939f4214ebbaaa27d6bd1f77d6 · bab5b7d44fb5bdfa93abd0945882ff36 · 592c85f20dd5049f484d501b6341db8e · 67c62318340bbc4ef65faa77adb98eb1 · 1c54faf3af6fca9ad4f3ed070e035709 · 8581ff471cb5a613c8e0a5c813e7feda · b941ad69be998e885e0bc485439fdfc3 · c519b7abf4a486af8124d0294aa67398 · 66080de38abbd64b8a2d4ed8dc1835ff · abf047aea13f40a49a3c59fff0081d82 · 44b5d41d994628be14b137aa2510915f · 0c06b230ffb42548bb43d3a06fcc5172 · 42c76172d9eb914c3c0955a49f9be59c · d3b7fe83931ac72a7fa26c4ddb9260dc · 881b1ac16785a1bf925f2205b88d5a52 · 0e5f236014df857064c001f6067719aa · 535efc3459df3c9f905f2beea3fd111f · a1cd977177816d3c8fd22334c3e743a6 · 0bbe9a00f7d94f2b6db52acbfb944601 · a58fd418d480baeb91703a1395b14b5e · fc524aa085fd1ea9d020a0dbca1f9a36 · 6c4c2e93d480617a37dfa0bbf5359e1b · d5b8415924170cafad75649d43805014 · 541ccd9780aaaf7cfe5c6b1aaf455484 · 4d54e0f85e7f7c4407662fb599b442fd · 7dae2e2d70781d1ea3ba144b35c5d6e5 · 0588ea345d8b5ba967ec4bf296eeb681 · c17492f46291f76c3396f3b49af9cb75 · 360be08a99a85ee54481e1668d1d2839 · 5739f15f50ac7beb86715945a7d79aeb · 95e9ae557cb042544e09bcd796dfb38e · bcb363c2db89a042d3a167ce170260a9 · e7aff055c5e499d1408301228fcf0019 · 6ff41e94a33e6b88fcb8304b03d5d5be · 64681db3b24251af6961f63b318915f6 · c395a3ae03323f906707a275c0aaa2e4 · 0ce15754390d2f24d3caa871c4d068d4 · cc3c363468c1f8f7aa0b80ad8c0ddc18 · be77f4f99192f53c9df283e006a64d34 · c7bb6919ca93cc8a00d65195c27a1c12 · 80932951733ffe5a72cde20f1ec8b602 · 2da6aa1cb250a59a0705562fb62b85a8 · d6e57d2c2b0bdabcca44adc20aa44ffa · eb41139197a395aff528f7eed57d8c60 · 6b6bce772828ef916ed33b79f93b70a8 · ad92ef11a5444c3ac47a2d0215c809d9 · 24ab5b63bb6fce10f1fd8bba838342b9 · cc0f0ea9704dd1eb3c921988b8f19a01 · c824bbc334faecd5461007131f51ce78 · eeec8e3639ec4c3897b58aa6a9f67bc9 · 5e0a9a1a8119efbfdd701ecbfa5c39cd · dc8e202db6909d658de17ede6e678878 · 52b1dd5bb882fa0aa964044e1ece2c9e · 855d693ab62b03ff6497e75d951d90fd · daf2cd5af5bf3d391080685aae840f57 · 124b38dafe52d7cf28456ffd85f3205a · 5a35e85b5f54f40c0b04f61895b9e622 · cbf3bf8c69c3759e49565841fdd66874 · 019b580c9e21d01d7d127831e4c598af · 984e25bcdcf72dbc1e71769fde922544 · 5c3fdb8dd1a521fb12d21a63721a335a · c134ebe757c95902f2b98303c97b494b · 2a63132f4cefa89ab5cf544768e2c578 · e990cd41b838d4e10f7f4d265c14ce1c · ba52785d3e426678e0d0fe3e72b482ba · f728041581159ff2c5878242b2861414 · 0dce1d80f24198210e773e73ac9ee146 · 0626e3af5b5ae8844a765a1bef544470 · 4942ea38d9d3e3881549c72f3007b042 · f49078ef72af268921b047a9a7c9862e · b35bb2d46f14ef08eecac9302a26cea4 · 431bdd2294ed9ac90f82d400f3775c55 · 6056bc9db4e6cfadb51f316cd4a3d561 · 3aa67e98e6aeb4c84fa09fdaa8432203 · a5bc3c74759824645bf8d1d3478eb350 · 728d0a553977cd8dbbea0fb50cdff9a3 · ec761b1b3b87e4bc4b45fe74900746a9 · b655b8576cb52e8d3e0fdfdc46011674 · dddc5a7b5f13f3f5d0d1748822f6846b · 788dec5f3d179e509fd2560ff5b40a9c · b6090bcd03dd4b07f76764151c00a69a · 4c93910f697158e6acbcb39fafcc46a9 · 837d38ce3f854c276e621a6d216af6e5 · 0ef56983b2e6bc504e73fbd627f233de · a0e9cc12f45c3b552bf734a7f405fddf · 9429e538eacd3d56bbdc2a85a38410c8 · 6cc215bd2449400d4b729ece29b4357e · a2000703ace0bd19a4ae8b6526432657 · 051dc55c18f79f871cc0b9d67ef7072e · 9e9ac2e204e54a049b338199f9b39b32 · ec9aa3bc8ceb1b7ab5821ac35d58f4d6 · 331cc2152200017dcd05a9188ea9f6df · 34b70c3254c69789f9b8cd60a63c0492 · 9302c8385a27f3e00dd36710b9a4b876 · 92ab1c11f40c69fedbf93112526b3363 · fe25c04118c9313811d293c30d70c439 · 138c0fcf90a445cd55fc5c71291e69de · 903351ea78d7d8bdf668d62006e0b08a · 2d0af86d93105e015161ab0c9610d3a9 · 002b0d8d3f992c14bbbd706f9b46d0f7 · fcb5981ed094d777a1cae2bc757e34b0 · 13fea6339664bbb67e9b095e54f54d8e · b1056a591c721e94a7dcfde8f3353a82 · 83799e0ca72123447c0026655d0ce6f6 · 3de6186162a0049accbc42913c1ec78d · 149d20f16b9d3d428a75857cb5d076d6 · 564ef356e8d7590ba22afaa9a02d4646 · 52aabe4f91c8f8603ef42d457b6633d0 · b5c613a2ca12eaf2b97456e9d757f506 · 285a4b20199b8eb0872cae7c04aeecff · 32fa577057987aeb848e257c363286fb · d8b3ccf852bd371db3469f66a91a8618 · d87faa8e4e2d48c0d9baa1c368b5b478 · ca3df1d5a176d528f0b6e2e7b23ad6eb · c0a1ef1a320637385e3013f280aab00e · 3b2570ab98c8da8b192fdc9e875a1d5e · ef1a7c218f4da025fce419c967975380 · 7dc64bd90b0ec3970e00829198c7d5b4 · afa282426a8d64edbf8a46cdfc224a80 · 03b741c1d5c2978de4caa424d28343f9 · ac5056cc514896c0cc0f2965cd52fc98 · 428dc4895a4f2749ccba49799a9dc491 · 0373fa8ccac901a03f4b089f8bb7452f · 347aed2cb0be8f9eba5b027e3dc38bee · 20bd62ac795f15cd · 9fdeb6279a460136 · 31a71c78697cb82f · e44a468412f80236 · 7d776284028378e8 · 645d38f43cc2d129 · 0bfd13dea55494b1 · 19c0e7b303f7b34d · 3f438e53e15d59a7 · a4969049cd895e43 · 37703d7ef67cc887 · f9ca631796e171d9 · e4a20d0bd6bab57e · 755f08156ceb60bc · 48f79c2f59c92fcd · 2016b04faf7888de · d8c77f480d7e19ec · 97e68a8ba2edb1e9 · ba999ec96c330a26 · 4c6c2d65c75d33b4 · b1671c3f6df715a3 · 78e325da51b9df40 · 5bf0e57e4faa816e · 7b5c05224f4a4b68 · 935a16d030dd1af3 · 2464afd3410c356b · d115668194436b44 · b6e87bb4ec138c29 · 53ba8d6a58b1dc54 · 708cdf66fdb3a0ab · 9b4e1ebb8cbef2b0 · b5275bab701b4080 · cca0b65356904284 · 796503a9ee3828fe · bd23e930acfd5dbd · 565e4d0c5c2c154c · e14613e285d6d6a0 · 85c0e676f51de868 · c24ea10460cb2c60 · 98844f2620cff74b · b7477f2ab84ec10e · 4dd465dbdb06e870 · d33863c5f125ab22 · 38494b79c3e466a8 · 3fc6b9d533c6db2d · a95c3cc965b49f7a · f5f6251453958647 · 75996b9ff48195e0 · c9b01f7b2f0707bc · 4fe77536d5692064 · 6763e8e4ce6be9c5 · 1875444e4e5215f4 · c6c7da386f463269 · 657d004976d6c63d · 8c24f58acdc45878 · e8185611c799d024 · 38d646b13bdf5b09 · 2ce8cbe4e8dd0649 · 5459947a620e2ef4 · f0d950e7b64af76b · dc65caa70486649f · 433860d409f8dc84 · ffbdfb1d70e1c966 · 851c4b2b83811288 · 9839517728463120 · 6615d1480efc4524 · 2fe3f7d9d64e9ac4 · 3df645f0e9d6af41 · 875b2ed287648c6b · d971761cb7aa66a9 · 5c1ec023127ac7e4 · fb11adab84672d08 · 34a298f9fb039256 · 24af787b91ce3a8f · 6a5fd3d34321193d · e385c1cd63388a32 · 6b282288346ac98c · 715b97f3b9f97469 · dd5435f5bf79d823 · 86e15a5be2dfcf58 · 7431edd8b1b95d51 · f43d0da0563896ab · 7f52656909875fb9 · d82e51b63b664508 · d24aadffac187efa · 1997512f8e7d48a5 · 6e35b7c942ca3e30 · caf1ba9e9df3ef5f · f2ffaee900128313 · d828af5ff581b979 · 4bf65ffb1d3f3514 · 6ec84132f190e0b4 · 6050969db9ee7f2c · 78b9fcf5079f7d79 · 1567f215f035aa8a · 2de678deed064a30 · 6f6e52c4527d9cae · ecb8cebd9186ca10 · cf1e93cc43b3697a · ffa6bc4e1c772d9a · 5986605e4618a2ee · 995deb4a597715e4 · 28b2e59268baf640 · 1894eb66620f19c3 · 358a84d2ac5fdbf2 · e72f77d13318b6a4 · 3aac29b44307df3d · 72f0ebab9228297a · 41e48377781d6b2e · 80b6fc259f498d44 · 1380b22204616bab · 66d7fe416c478182 · 4ecb3ba0ad0eb750 · 3d395670606ed5ea · d6f638dfe37aee35 · 2816892d03337813 · 0523dda9c1c2abdc · 3b00df7d05478f92 · 4fbd2db5010c9b35 · 92f9043aa6d007dd · f164434ce7c10fe5 · a8cc6ab0e3c224fc · b0201ee1aea37ce0 · 2b3c0f3b9bff05ea · b6124e8c62027703 · 9662ba67586e77e5 · 9f8615466a3ac038 · 0a69c5a5b6953579 · d6994be1c37ca3bc · f64f9c3bf597ec1a · edae3efe5945c2ce · 0006d9d536dd11cc · e7d2d4836e46a061 · eaf9a823c3f3ee62 · 5c2b1edfc2f2890c · a50134afdb728d57 · e151777abe9d2410 · 1bc845a61d82cba5 · 8efd7a228775a707 · 7b733918b5b1821b · 5f170d6ea995b7a5 · 1b30f9d71200b090 · ab5d12a2393c0dc2 · da7ce1906dd58dc2 · 148f2222a1f6b99c · e7fc2f902b2ce0aa · a64f335cfb153ff4 · b2cc8652168232c4 · c0dcbf19a91fdda6 · 4138ddd7626cce88 · f03b83e13ffe3beb · 2a745becdc5e2997 · 3253f1399c1bec55 · 6ea173db1e687175 · 49753c119561569d · 7078095bea2466f5 · ff9ecd3f3cc73595 · d19c0e56ad2d7572 · 244f6c49f15c0bdf · d9b785b21f6d1d59 · 24a4dff019045c74 · 5dbbfe1dae366c54 · 5161d5c678913a09 · 07a745090d9090a0 · 610ed53026bde510 · 8aeb7f9bb20906c1 · eb99d7029e9829fb · b2eeaa3b49d7fa4e · e2718cea79d6b1f3 · 6a5114f9a6d4378c · 9be79729cb3394d5 · 6ba193276982e0b4 · 6868175543bb6a64 · 1cbdae1bfb6320f7 · f6fe10b8a0fb073b · da49d327185214eb · f5187e3abdd602e3 · 37d70cd927f8f884 · 578cedc27780297f · 59489e9e6d725a7b · bd048c16bc6cdd3a · 8c4f43b19ca1b5ba · 2b6acfed4484fa07 · 3233a460f78a20b8 · 6a0cce1ba49c0172 · d966a2aa718a2bae · 6014285bafac7a9e · 62f46896a91f6e9f · d7b2e73d58b77999 · 4992367d9780ee2d · 98401aa7030e5d17 · 4a31f49c79f2b2a4 · 4d029a8499f5bb2b · a609c353746f2cbb · b34ce9356d9edc0f · e0e925d16eae681b · a1082c63b8162872 · 71e2fdcb3b7c7b9a · 1af22770728a8ed5 · 3153561c2061283b · da27bf176963f38d · 93433b0679734dba · 681e77edb0eb95ee · a6deae98ba2abdc2 · 7e6774c550cde6c0 · 404074e1f3e1c770 · 920688cd74eea8e7 · cbd5394703bf6407 · e7f22beed3fcc992 · a53cf543ea0a13b2 · 614b00e552df8fbb · d461d2d8e7165d1b · 254899fe20506d30 · f4d46ce6b10c55c1 · 828786d98ae75b46 · de69905b82a1aadf · 0df72fc31927db2c · c9c6c8887ad20aaf · bfa54e1f75f89c28 · 5d2a147155e3ecbf · b559c19f8d72e79b · 07a197a366b29d5f · e1517be4a9172f6a · 81327040ea602e16 · 9f03e68ac4a0acd8 · bb0c100b985bb07b · 6ea84f3ccb78b686 · 64fe1cb342271cbc · 66a30d8fbed0b5ab · 4d6eef631386d6d8 · b0a9189d2477e167 · 2f79f86c4349bf81 · 4988c8a22657d99a · ee5765ecf69778da · efb3b008e0357c4b · b1f9b22c4db6cf95 · 75a3d3d9884c6bb1 · e9700245adce4657 · a44407ba4d1462f8 · da9fff30b1776fdf · a27816a3c72d464f · cc9899a46d1b8673 · cb24bfca5999dc00 · 0e94466e518b892c · bdc191bf2c0297a3 · d6482130a8d6808f · 005700273f5dac21 · 3855a129bb7fbf9d · 7cc55deb78a50c06 · 301715811c262e6d · 8bd7ec28f7c98906 · f26524ac8198adfa · 9500bc4ac40879e1 · 5529303ac1b3621e · 2ea32e886d993c8c · a3799960bf76dec0 · 1386dec232bb9e08 · 1daac3c53fc335fe · 30f928add4e60121 · fc3a3773db26aff4 · 783ad9e27384be81 · 33fffc2d2b4bf313 · 4b1eb57c02d4454b · 50a3ba7b2afa4ff9 · 73948260a4bd4488 · df983422b88b6d9e · 1d18c6500e1170e9 · 7b15e05b7d226e2e · c0806d8b5a097ca3 · 90bc5eae2ea1c8bd · c87b10475d648712 · 652a4c865ad79c8d · 3c9cfde5fdc456fa · c72ca5eedd56668e · 46dc4f8d557d789f · 0bcd1853c038549c · c66d10918b84dfcb · 9105591b22009ad3 · 85b4da2868a030b5 · 4a56d3961a528203 · 6ae9ef438d03920f · fb736f928314ba55 · 5af5f5e0ca328e6e · 58e02c8a708237c0 · 0f072666616518cf · be7dcf495114b8ac · 08a3cf834d4a857c · 14a787c545372a63 · 2c0bbf2d61f41f2b · cb822196d2d10d25 · 4b6d52ab6a6ef7c1 · 1b7984913a0f3de8 · 3a9e4d3b83590427 · cd3b934be8166603 · ec46685e7368fdc4 · 30df2176a0da34fd · 0213ccafedf23f36 · 1373790f90606f90 · ea280300d64bbfcf · f68f128e4786de86 · e46ad838ac5cf131 · 7f8e9238891d6fb2 · b048d1b234814212 · 63d9309e3a9f6d62 · 6b599b060e95850d · b5439408b72534a6 · d84a6c210c77a6e6 · 3471ab367858bd7c · 631f6b539194e0b5 · fd9febddc5aacd17 · ae64a03f93f39251 · 31b0945b963e2cfd · cf0544af07e7c8b7 · 7e7354ac04c6b661 · 3e4b43485ec3506c · 58a5dd7cc1e385bf · 39d85b3ba9d189c7 · d92c18cf5acfa959";"PGO0053 · Synthwave Retrowave · PGO0043 · Brand Content · PGO0036 · Afro Pop";"Main · Stem Bass · Stem Drums · Stem Fx · Stem Synthesizers Choir · Stem Synthesizers Chords · 60 sec · 30 sec · 15 sec · Stem Synthesizers Arp · Stem Synthesizers Noise · Stem Synthesizers Pad · Stem Synthesizers Vocals · Stem Synthesizers Lead · Stem Backs · Stem Lead · Stem Refrain · Stem Synthesizers Vocoder · Stem Vocals · Stem Synthesizers · Stem Piano · Stem Guitar · Stem Strings · Stem Vocals Fx · Stem Mallets · Stem Synthesizers Chord · Stem Vox · Stem Brass · Stem Guitars · Stem Synthesizers Main · Stem Fx2 · Commercial · Alternate · Stem";"identité-canonique-courante · écart-ayant-droit-à-valider";"needs-review"
"Franck Sinnassamy (SACEM)";"Franck Sinnassamy";"update";"9622728a23e1365c · 89d3e2cb0b54d053 · cb126cd2d9eba8fc · 0f758fbbe6fe3cfd · a94011f23ebff2f4 · b0e12f01a30ff8c1 · 4e977c6efb45f7d9 · 6c8343ddac632107 · 775b431e4f240711 · 622514a75da8e84e";"PGO0036 · Afro Pop";"Commercial · Main · Stem";"identité-canonique-courante";"pilot-pending"
"Franck SINNASSAMY (SACEM)";"Franck Sinnassamy";"update";"08c684a452847d26 · d8b38cdea25511c0 · a85c526a576b2be6 · 163a7e9549d20509 · 37e1717cf86beff8 · 187caddf5ac70100 · 30a98d3c2afa4a25 · 66ee253cf51d66b1 · 4d73d1e6f06cb399 · b4c864fa9920a451 · 241ff53473fc89ba · 906c36dea635b1c1 · 56cef962f963c9e9 · 521f619e23e14e4e · 3ba721e8898ac724 · be5f2e1a30165a88 · ed45df6d8851cd6e · 7a5435ec8ca5aff0 · 0d9b778e9b5ee7da · 38f2cdd487a1c337 · 6a131cc5dccd69c4 · 2d3dcffbb50badf9 · c15c19c7e926ee16 · 3a653803fe918d5d · be0f18167de4ff3c · b269eb7b79c8dc7c · e36b2e5c16ef1e88";"PGO0027 · Future Beat";"Main · Commercial";"identité-canonique-courante · identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"François-Olivier Nolorgues (NS)";"François-Olivier Nolorgues";"update";"b92fc91381dd2980 · f75e8dd6f11ffa5d · 0e563d671fee1ec5 · 5430bc8250cd9c2e · aa0d0eb1418fd2a1 · 894073f7d9b7d7a7 · f9b80149ad8c448e · 48413ecfe959afe7 · 477ce246206da9cc";"PGO0009 · Dance Fever";"Main · General Underscore";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Frédéric HANAK";"Frédéric HANAK";"update";"530f71676d81a80e · 79dfd41787ca3d78 · 29bf9afa584fabbf";"PGO0038 · Rock Of Anarchy";"Main";"identité-canonique-courante";"pilot-pending"
"Gerald Bonnegrace";"Gerald Bonnegrace";"no-change";"8e1dcf6aa9ac6d33771f862a0c9d5786 · 520602865841b7b134578cde6a14e399 · 12e7d98d7fef071d3966e5b2f77ab9ae";"PGO0048 · Solo Piano Vol.2";"Main";"déjà-canonique";"pilot-pending"
