"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"composer_avant";"composer_proposé";"action";"justification";"validation"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"10a87929eb3313a9";"7c36d2086e2b47d4";"SANTA MONICA PIER STEM BASS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"2cbd9bb77586d8bd";"7c36d2086e2b47d4";"SANTA MONICA PIER STEM DRUMS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"fd2d99cb22d1fd15";"7c36d2086e2b47d4";"SANTA MONICA PIER STEM GUITAR";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"9f40244236e5170d";"7c36d2086e2b47d4";"SANTA MONICA PIER STEM RHODES";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"056a5a66afc4f840";"7c36d2086e2b47d4";"SANTA MONICA PIER STEM SYNTHESIZER";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"bb1a58f1f1882193";"7c36d2086e2b47d4";"SANTA MONICA PIER STEM VOCALS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"003c424c95d5a096";"";"SANTA MONICA PIER (INSTRUMENTAL)";"Main";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"4d1f9a66d2fb6c79";"003c424c95d5a096";"SANTA MONICA PIER (INSTRUMENTAL) (30 SEC)";"Commercial";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"90d572e9cad2ad27";"003c424c95d5a096";"SANTA MONICA PIER (INSTRUMENTAL) (60 SEC)";"Commercial";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"d3c2d629d7f378ab";"";"DUBAI RIDERS";"Main";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
