section,name,method,url,body_mode,input_fields,request_example_source,request_json_status,response_top_level_fields
Public API > Accessing Metadata > Albums,Get Albums By Label/Library (Include Inactive),GET,{HM_ServiceAPI_URL}/getalbums/{HM_ServiceAPI_MemberToken}/{LibraryID}/includeinactive,,,,not-applicable,"Albums, Albums[].LibraryID, Albums[].LibraryName, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].Status, Albums[].LastUpdated"
Public API > Accessing Metadata > Albums,Get Albums By Style,POST,{HM_ServiceAPI_URL}/getalbumsbystyles/{HM_ServiceAPI_MemberToken},raw,"style, style[].id, mainOnly",response.originalRequest,valid,"Albums, Albums[].LibraryID, Albums[].LibraryName, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].TrackCount, Albums[].LastUpdated"
Public API > Accessing Metadata > Albums,Get Albums By Album,POST,{HM_ServiceAPI_URL}/getalbumsbyids/{HM_ServiceAPI_MemberToken},raw,"albumid, albumid[].id",response.originalRequest,valid,"Albums, Albums[].LibraryID, Albums[].LibraryName, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].LastUpdated, Albums[].Styles, Albums[].Styles[].ID, Albums[].Styles[].Name"
Public API > Accessing Metadata > Albums,Get Featured Albums,GET,{HM_ServiceAPI_URL}/getfeaturedalbums/{HM_ServiceAPI_MemberToken}/{Top}?returntrackcount={returnTrackCount}&mainonly={mainOnly}&sort={sortorder},,,,not-applicable,"Albums, Albums[].LibraryID, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].Status, Albums[].LastUpdated, Albums[].Tags"
Public API > Accessing Metadata > Albums,Get Latest Albums,GET,{HM_ServiceAPI_URL}/getlatestalbums/{HM_ServiceAPI_MemberToken}/{Top},,,,not-applicable,"Albums, Albums[].LibraryID, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].Status, Albums[].LastUpdated, Albums[].Tags"
Public API > Accessing Metadata > Albums,Get Album,GET,{HM_ServiceAPI_URL}/getalbum/{HM_ServiceAPI_MemberToken}/{AlbumID}?returnLibraryCodes={returnLibraryCodes},,,,not-applicable,"Album, Album.LibraryID, Album.LibraryName, Album.LibraryFeatured, Album.Featured, Album.ReleaseDate, Album.Code, Album.Detail, Album.Name, Album.DisplayTitle, Album.Keywords, Album.ID, Album.TrackCount, Album.LastUpdated, Album.Tags, Album.AlbumAttribute, Album.LibraryCodes"
Public API > Accessing Metadata > Albums,Get Album Tracks,GET,{HM_ServiceAPI_URL}/getalbumtracks/{HM_ServiceAPI_MemberToken}/{AlbumID}/mainonly?skip={skip}&limit={limit},,,,not-applicable,"Tracks, Tracks[].TrackNumber, Tracks[].Time, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].Publisher, Tracks[].Name, Tracks[].AlbumID, Tracks[].ID, Tracks[].Keywords, Tracks[].Lyrics, Tracks[].DisplayTitle, Tracks[].Genre, Tracks[].Tempo, Tracks[].Instrumentation, Tracks[].Bpm, Tracks[].Mixout, Tracks[].Frequency, Tracks[].DateIngested, Tracks[].Version, Tracks[].CdCode, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].LibraryFeatured, Tracks[].Status, Tracks[].LastUpdated, Tracks[].IsAlternate, Tracks[].AlternateCount, Tracks[].Highlighted, Tracks[].HighlightedInPlaylists, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].MainTrackID"
Public API > Accessing Metadata > Albums,Get Album Tracks (Include Inactive),GET,{HM_ServiceAPI_URL}/getalbumtracks/{HM_ServiceAPI_MemberToken}/{AlbumID}/includeinactive?skip={skip}&limit={limit},,,,not-applicable,"Tracks, Tracks[].TrackNumber, Tracks[].Time, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].Publisher, Tracks[].Name, Tracks[].AlbumID, Tracks[].ID, Tracks[].Keywords, Tracks[].Lyrics, Tracks[].DisplayTitle, Tracks[].Genre, Tracks[].Tempo, Tracks[].Instrumentation, Tracks[].Bpm, Tracks[].Mixout, Tracks[].Frequency, Tracks[].DateIngested, Tracks[].Version, Tracks[].CdCode, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].LibraryFeatured, Tracks[].Status, Tracks[].LastUpdated, Tracks[].IsAlternate, Tracks[].AlternateCount, Tracks[].Highlighted, Tracks[].HighlightedInPlaylists, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].MainTrackID"
Public API > Accessing Metadata > Tracks,Get Tracks,POST,{HM_ServiceAPI_URL}/gettracks/{HM_ServiceAPI_MemberToken},raw,"ReturnAlternateVersions, ReturnAttributes, ReturnCategories, ReturnCategoryFacet, ReturnCodes, ReturnComposers, ReturnRelatedTracks, ReturnRightHolders, GetMainVersionFromAlternate, CuesheetOnlyCodesAndAttribute, ReturnInactiveTracks, ReturnRegionOnlyTracks, Offset, Limit, track",response.originalRequest,valid,"Tracks, Tracks[].TrackNumber, Tracks[].Time, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].Publisher, Tracks[].Name, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].Keywords, Tracks[].Lyrics, Tracks[].DisplayTitle, Tracks[].alternatetitle, Tracks[].Genre, Tracks[].Tempo, Tracks[].Instrumentation, Tracks[].Bpm, Tracks[].Mixout, Tracks[].Frequency, Tracks[].Bitrate, Tracks[].DateIngested, Tracks[].Version, Tracks[].AlternateTracks, Tracks[].AlternateTracks[].TrackNumber, Tracks[].AlternateTracks[].Time, Tracks[].AlternateTracks[].LengthSeconds, Tracks[].AlternateTracks[].Comment, Tracks[].AlternateTracks[].Composer, Tracks[].AlternateTracks[].Publisher, Tracks[].AlternateTracks[].Name, Tracks[].AlternateTracks[].AlbumID, Tracks[].AlternateTracks[].ID, Tracks[].AlternateTracks[].Keywords, Tracks[].AlternateTracks[].Lyrics, Tracks[].AlternateTracks[].DisplayTitle, Tracks[].AlternateTracks[].Genre, Tracks[].AlternateTracks[].Tempo, Tracks[].AlternateTracks[].Instrumentation, Tracks[].AlternateTracks[].Bpm, Tracks[].AlternateTracks[].Mixout, Tracks[].AlternateTracks[].Frequency, Tracks[].AlternateTracks[].Bitrate, Tracks[].AlternateTracks[].Version, Tracks[].AlternateTracks[].Status, Tracks[].AlternateTracks[].CDCode, Tracks[].AlternateTracks[].IsAlternate, Tracks[].AlternateTracks[].HasLyrics, Tracks[].AlternateTracks[].IsExplicit, Tracks[].AlternateTracks[].Tags, Tracks[].AlternateTracks[].MainTrackID, Tracks[].Status, Tracks[].CDCode, Tracks[].AlbumReleaseDate, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].LibraryFeatured, Tracks[].FileName, Tracks[].IsAlternate, Tracks[].TrackAttribute, Tracks[].TrackAttribute[].AttributeTypeName, Tracks[].TrackAttribute[].Value, Tracks[].Codes, Tracks[].Codes[].AttributeTypeName, Tracks[].Codes[].Value, Tracks[].AlternateCount, Tracks[].RightHolders, Tracks[].RightHolders[].OriginalPublisher, Tracks[].RightHolders[].ID, Tracks[].RightHolders[].FirstName, Tracks[].RightHolders[].MiddleName, Tracks[].RightHolders[].LastName, Tracks[].RightHolders[].CollectingSociety, Tracks[].RightHolders[].IPI, Tracks[].RightHolders[].Capacity, Tracks[].RightHolders[].OwnerPerformanceShare, Tracks[].RightHolders[].OwnerMechanicalShare, Tracks[].RightHolders[].Territory, Tracks[].Mood, Tracks[].MusicFor, Tracks[].Highlighted, Tracks[].HighlightedInPlaylists, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].MainTrackID"
Public API > Accessing Metadata > Tracks,Get Top Tracks,POST,{HM_ServiceAPI_URL}/gettoptracks/{HM_ServiceAPI_MemberToken},raw,,response.originalRequest,invalid,"Tracks, Tracks[].TrackNumber, Tracks[].Time, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].Publisher, Tracks[].Artist, Tracks[].Name, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].Keywords, Tracks[].DisplayTitle, Tracks[].AlternateTitle, Tracks[].Genre, Tracks[].Tempo, Tracks[].Instrumentation, Tracks[].Bpm, Tracks[].Mixout, Tracks[].Filesize, Tracks[].Frequency, Tracks[].Bitrate, Tracks[].DateIngested, Tracks[].Version, Tracks[].Alternates, Tracks[].AlternateTracks, Tracks[].RelatedTracks, Tracks[].Categories, Tracks[].Status, Tracks[].Relations, Tracks[].CDCode, Tracks[].Composers, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].IsAlternate, Tracks[].AlternateCount, Tracks[].RightHolderIDs, Tracks[].RightHolders, Tracks[].Mood, Tracks[].MusicFor, Tracks[].Tags, Tracks[].MainTrackID, Tracks[].IsCached, Tracks[].Title, Tracks[].StemCount, Tracks[].Stems, Tracks[].LanguageItems, Tracks[].LibraryFeatured, Tracks[].Highlighted, Tracks[].EvokeSegments, Tracks[].HighlightedInPlaylists, Tracks[].IsOriginator, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].LibraryType, Album, Album.LibraryFeatured, Library, Library.Featured"
