section,name,method,url,body_mode,input_fields,request_example_source,request_json_status,response_top_level_fields
Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching,Confirm EDL File Upload Complete,POST,{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ContentType, FileUrl",response.originalRequest,valid,Code
Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching,Get Cuesheet Matches,POST,{HM_ServiceAPI_URL}/getcuesheetmatch/{HM_ServiceAPI_MemberToken},raw,"CuesheetID, OutputEmail, OutputFileName",response.originalRequest,valid,"Code, EmailSent, FullUrl, Items, ItemsFound, ItemsUniqueFileName, ItemsUniqueFileNameFound"
Public API > Searching Metadata > Search,Implementation Guide Search,INFO,,,,,not-applicable,
Public API > Searching Metadata > Search,Search,POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"Session, SaveSearchHistory, SearchFilters, SearchFilters.SearchType, SearchFilters.IncludeInactive, SearchFilters.MainOnly, SearchFilters.AlternateOnly, SearchFilters.FeaturedLibrariesOnly, SearchFilters.HasStems, SearchFilters.HasLyrics, SearchFilters.ExplicitOnly, SearchFilters.NearestBPM, SearchFilters.NearestDuration, SearchFilters.NearestAlternate, SearchFilters.ParentSearchHistoryID, SearchFilters.GeneratePlaylist, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Keyword_Aggregated, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.ExactPhrase, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.Wildcard, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.DisableKeywordGroup, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.OrOperation, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.Keywords, SearchFilters.SearchTermBundle.St_Keyword_Aggregated.Negative, SearchFilters.ResultView, SearchFilters.ResultView.View, SearchFilters.ResultView.View_Style_Album_Count, SearchFilters.ResultView.View_Style_Playlist_Count, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.RankExpression, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit, SearchFilters.ResultView.Facet_LibraryGroup, SearchFilters.ResultView.Facet_LibraryGroupSkip, SearchFilters.ResultView.Facet_LibraryGroupLimit, SearchFilters.ResultView.Facet_Library, SearchFilters.ResultView.Facet_LibrarySkip, SearchFilters.ResultView.Facet_LibraryLimit, SearchFilters.ResultView.Facet_Album, SearchFilters.ResultView.Facet_AlbumSkip, SearchFilters.ResultView.Facet_AlbumLimit, SearchFilters.ResultView.Facet_Style, SearchFilters.ResultView.Facet_StyleSkip, SearchFilters.ResultView.Facet_StyleLimit, SearchFilters.ResultView.Facet_Category, SearchFilters.ResultView.Facet_CategorySkip, SearchFilters.ResultView.Facet_CategoryLimit, SearchFilters.ResultView.Facet_Composer, SearchFilters.ResultView.Facet_ComposerSkip, SearchFilters.ResultView.Facet_ComposerLimit, SearchFilters.ResultView.Facet_BPM, SearchFilters.ResultView.Facet_Duration, SearchFilters.ResultView.Facet_ReleaseYear",response.originalRequest,valid,"TotalTracks, TotalAlbums, TotalLibraries, TotalStyles, SearchParameters, SearchParameters.searchtype, SearchParameters.includeinactive, SearchParameters.mainonly, SearchParameters.alternativeonly, SearchParameters.featuredlibrariesonly, SearchParameters.hasstems, SearchParameters.haslyrics, SearchParameters.explicitonly, SearchParameters.nearestduration, SearchParameters.nearestbpm, SearchParameters.nearestalternate, SearchParameters.parentsearchhistoryid, SearchParameters.generateplaylist, SearchParameters.resultview, SearchParameters.resultview.view, SearchParameters.resultview.sort_predefined, SearchParameters.resultview.rankexpression, SearchParameters.resultview.skip, SearchParameters.resultview.limit, SearchParameters.resultview.saved, SearchParameters.resultview.mincount, SearchParameters.resultview.returntrackcategoryid, SearchParameters.resultview.facet_librarygroup, SearchParameters.resultview.facet_librarygroupskip, SearchParameters.resultview.facet_librarygrouplimit, SearchParameters.resultview.facet_library, SearchParameters.resultview.facet_libraryskip, SearchParameters.resultview.facet_librarylimit, SearchParameters.resultview.facet_album, SearchParameters.resultview.facet_albumskip, SearchParameters.resultview.facet_albumlimit, SearchParameters.resultview.facet_style, SearchParameters.resultview.facet_styleskip, SearchParameters.resultview.facet_stylelimit, SearchParameters.resultview.facet_category, SearchParameters.resultview.facet_categoryskip, SearchParameters.resultview.facet_categorylimit, SearchParameters.resultview.facet_composer, SearchParameters.resultview.facet_composerskip, SearchParameters.resultview.facet_composerlimit, SearchParameters.resultview.facet_bpm, SearchParameters.resultview.facet_duration, SearchParameters.resultview.facet_releaseyear, SearchParameters.resultview.view_style_album_count, SearchParameters.resultview.view_style_playlist_count, SearchParameters.PreviousSearchTermBundles, SearchParameters.PreviousSearchTermBundles[].SearchHistoryID, SearchParameters.PreviousSearchTermBundles[].st_keyword_aggregated, SearchParameters.PreviousSearchTermBundles[].st_keyword_aggregated.searchtermid, SearchParameters.PreviousSearchTermBundles[].st_keyword_aggregated.Keywords, SearchParameters.PreviousSearchTermBundles[].st_keyword_aggregated.exactphrase, SearchParameters.PreviousSearchTermBundles[].st_keyword_aggregated.oroperation, SearchParameters.PreviousSearchTermBundles[].st_keyword_aggregated.wildcard, SearchParameters.PreviousSearchTermBundles[].st_keyword_aggregated.disablekeywordgroup, Tracks, Tracks[].TrackNumber, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].DisplayTitle, Tracks[].alternatetitle, Tracks[].Genre, Tracks[].Bpm, Tracks[].Version, Tracks[].CDCode, Tracks[].AlbumName, Tracks[].IsAlternate, Tracks[].AlternateCount, Tracks[].RightHolderIDs, Tracks[].RightHolderIDs[].ID, Tracks[].Highlighted, Tracks[].HighlightedInPlaylists, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].MainTrackID, Facets, UseDatabase"
Public API > Searching Metadata > Search,Predictive Search,POST,{HM_ServiceAPI_URL}/autocomplete/{HM_ServiceAPI_MemberToken},raw,"Keyword, Wildcard, ReturnTracks, ReturnTracks_MainOnly, ReturnTracks_Fields, ReturnTracks_Limit, ReturnTracks_Order, ReturnTracks_DisableKeywordGroup, ReturnTracks_Rank, ReturnAlbums, ReturnAlbums_Fields, ReturnAlbums_Limit, ReturnAlbums_Order, ReturnAlbums_DisableKeywordGroup, ReturnLibraries, ReturnLibraries_Fields, ReturnLibraries_Limit, ReturnLibraries_DisableKeywordGroup, ReturnStyles, ReturnStyles_Limit, ReturnStyles_Order, ReturnStyles_DisableKeywordGroup, ReturnCategoryAttributes, ReturnCategoryAttributes_Limit, ReturnCategoryAttributes_ShowOnPlayerOnly, ReturnCategoryAttributes_IncludeCategory, ReturnCategoryAttributes_Order, ReturnCategoryAttributes_DisableKeywordGroup, ReturnRightHolders, ReturnRightHolders_Fields, ReturnRightHolders_Limit, ReturnRightHolders_DisableKeywordGroup, RightHolderTypes, ReturnLyrics, ReturnLyrics_Limit, ReturnLyrics_MainOnly, ReturnLyrics_DisableKeywordGroup, ReturnKeywords, ReturnKeywordsMaxSize, ReturnKeywordsForMatch, ReturnKeywordsForMatch_Fields, ReturnKeywordsForMatch_HideWhenSearchTerm, ReturnKeywordsDisableKeywordGroup, ReturnFeaturedPlaylists, ReturnFeaturedPlaylist_Fields, ReturnFeaturedPlaylists_Limit, ReturnFeaturedPlaylist_Order, ReturnFeaturedPlaylists_DisableKeywordGroup",response.originalRequest,valid,"AlbumsFound, Albums, Albums[].AlbumID, Albums[].CDCode, Albums[].DisplayTitle, Albums[].TrackCount, TracksFound, Tracks, Tracks[].TrackID, Tracks[].CDCode, Tracks[].TrackNumber, Tracks[].DisplayTitle, Tracks[].AlternateTitle, Tracks[].Version, Tracks[].AlbumID, StylesFound, Styles, Styles[].StyleID, Styles[].Name, Styles[].AlbumCount, TagsFound, CategoryAttributesFound, LibraryFound, Libraries, Libraries[].LibraryID, Libraries[].Name, ComposerFound, RightHolderFound, rightHolders, rightHolders[].RightHolderID, rightHolders[].FirstName, rightHolders[].LastName, rightHolders[].Name, rightHolders[].MiddelName, rightHolders[].IPI, LyricFound, Lyrics, Lyrics[].TrackID, Lyrics[].CDCode, Lyrics[].Lyric, Lyrics[].Artist, Lyrics[].TrackNumber, Lyrics[].DisplayTitle, Lyrics[].Version, Lyrics[].AlbumID, Keywords, Keywords[].Keyword, Keywords[].Count, FeaturedPlaylistsFound, FeaturedPlaylists, FeaturedPlaylists[].PlaylistID, FeaturedPlaylists[].DisplayTitle, FeaturedPlaylists[].Description"
Public API > Searching Metadata > Search Similar > Overview,Implementation Guide,INFO:,,,,,not-applicable,
Public API > Searching Metadata > Search Similar > AIMS > Similarity (By TrackID),Search Similar Tracks (By TrackID),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].TrackID, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit",request,valid,
Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload),Get Audio File Upload URL,POST,{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId",request,valid,"PresignedUploadUrl, ResourceUrl"
Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload),Confirm Audio File Upload Complete,POST,{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ReturnWaveformDatapoints, ReturnWaveformDatapointsUrl, ObjectId",request,valid,Code
Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload),Search Similar Tracks (By Audio File Upload),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit",request,valid,"TotalTracks, TotalAlbums, TotalLibraries, SearchParameters, SearchParameters.searchtype, SearchParameters.memberaccount, SearchParameters.region, SearchParameters.includeinactive, SearchParameters.mainonly, SearchParameters.alternativeonly, SearchParameters.parentsearchhistoryid, SearchParameters.resultview, SearchParameters.resultview.view, SearchParameters.resultview.sort_predefined, SearchParameters.resultview.skip, SearchParameters.resultview.limit, SearchParameters.resultview.saved, SearchParameters.resultview.mincount, SearchParameters.resultview.returntrackcategoryid, SearchParameters.resultview.facet_album, SearchParameters.resultview.facet_albumskip, SearchParameters.resultview.facet_albumlimit, SearchParameters.resultview.facet_library, SearchParameters.resultview.facet_libraryskip, SearchParameters.resultview.facet_librarylimit, SearchParameters.resultview.facet_style, SearchParameters.resultview.facet_styleskip, SearchParameters.resultview.facet_stylelimit, SearchParameters.resultview.facet_category, SearchParameters.resultview.facet_categoryskip, SearchParameters.resultview.facet_categorylimit, SearchParameters.resultview.facet_composer, SearchParameters.resultview.facet_composerskip, SearchParameters.resultview.facet_composerlimit, SearchParameters.resultview.bpm_range, SearchParameters.resultview.duration_range, SearchParameters.resultview.include_alternates, SearchParameters.resultview.include_rightholders, SearchParameters.resultview.include_lyrics, SearchParameters.resultview.include_keywords, SearchParameters.resultview.tracks_per_album, SearchParameters.resultview.facet_bpm, SearchParameters.resultview.facet_duration, SearchParameters.PreviousSearchTermBundles, SearchParameters.PreviousSearchTermBundles[].SearchHistoryID, SearchParameters.PreviousSearchTermBundles[].st_audio, SearchParameters.PreviousSearchTermBundles[].st_audio.searchtermid, SearchParameters.PreviousSearchTermBundles[].st_audio.audio, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].url, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].type, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].start, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].duration, Tracks, Tracks[].TrackNumber, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].Keywords, Tracks[].DisplayTitle, Tracks[].alternatetitle, Tracks[].Genre, Tracks[].Bpm, Tracks[].Version, Tracks[].CDCode, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].IsAlternate, Tracks[].AlternateCount, Tracks[].RightHolderIDs, Tracks[].RightHolderIDs[].ID, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].MainTrackID, Tracks[].EvokeSegments, Tracks[].EvokeSegments[].Length, Tracks[].EvokeSegments[].Start, Tracks[].EvokeSegments[].Score, Facets, UseDatabase"
Public API > Searching Metadata > Search Similar > AIMS > Similarity (By URL),Get External Audio File,POST,{HM_ServiceAPI_URL}/getexternalaudiobyurl/{HM_ServiceAPI_MemberToken},raw,"Url, Type, ReturnWaveformDataPoints, ReturnWaveformDataPointsUrl",request,valid,"ResourceUrl, Asset, Asset.MaxDuration, Asset.WaveformDatapoints"
Public API > Searching Metadata > Search Similar > AIMS > Similarity (By URL),Search Similar Tracks (By URL),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit",request,valid,
Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Prompt),Search Similar Tracks (By Prompt),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Prompt, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit",response.originalRequest,valid,
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By TrackID),Search Similar Tracks (By TrackID),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].TrackID, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Limit",response.originalRequest,valid,
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File),Get Audio File Upload URL,POST,{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId",response.originalRequest,valid,"PresignedUploadUrl, ResourceUrl"
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File),Confirm Audio File Upload Complete,POST,{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ReturnWaveformDatapoints, ReturnWaveformDatapointsUrl, ObjectId",response.originalRequest,valid,"Code, Asset, Asset.MaxDuration, Asset.WaveformDatapoints, Asset.WaveformDatapointsUrl, Asset.ExternalID"
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File),Get External Audio File Ingestion Status,POST,{HM_ServiceAPI_URL}/getexternalaudiostatus/{HM_ServiceAPI_MemberToken},raw,ExternalID,response.originalRequest,valid,Code
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File),Search Similar Tracks (By Audio File Upload),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Limit",response.originalRequest,valid,"TotalTracks, TotalAlbums, TotalLibraries, SearchParameters, SearchParameters.searchtype, SearchParameters.memberaccount, SearchParameters.region, SearchParameters.includeinactive, SearchParameters.mainonly, SearchParameters.alternativeonly, SearchParameters.parentsearchhistoryid, SearchParameters.resultview, SearchParameters.resultview.view, SearchParameters.resultview.sort_predefined, SearchParameters.resultview.skip, SearchParameters.resultview.limit, SearchParameters.resultview.saved, SearchParameters.resultview.mincount, SearchParameters.resultview.returntrackcategoryid, SearchParameters.resultview.facet_album, SearchParameters.resultview.facet_albumskip, SearchParameters.resultview.facet_albumlimit, SearchParameters.resultview.facet_library, SearchParameters.resultview.facet_libraryskip, SearchParameters.resultview.facet_librarylimit, SearchParameters.resultview.facet_style, SearchParameters.resultview.facet_styleskip, SearchParameters.resultview.facet_stylelimit, SearchParameters.resultview.facet_category, SearchParameters.resultview.facet_categoryskip, SearchParameters.resultview.facet_categorylimit, SearchParameters.resultview.facet_composer, SearchParameters.resultview.facet_composerskip, SearchParameters.resultview.facet_composerlimit, SearchParameters.resultview.bpm_range, SearchParameters.resultview.duration_range, SearchParameters.resultview.include_alternates, SearchParameters.resultview.include_rightholders, SearchParameters.resultview.include_lyrics, SearchParameters.resultview.include_keywords, SearchParameters.resultview.tracks_per_album, SearchParameters.resultview.facet_bpm, SearchParameters.resultview.facet_duration, SearchParameters.PreviousSearchTermBundles, SearchParameters.PreviousSearchTermBundles[].SearchHistoryID, SearchParameters.PreviousSearchTermBundles[].st_audio, SearchParameters.PreviousSearchTermBundles[].st_audio.searchtermid, SearchParameters.PreviousSearchTermBundles[].st_audio.audio, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].url, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].type, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].start, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].duration, Tracks, Tracks[].TrackNumber, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].Keywords, Tracks[].DisplayTitle, Tracks[].alternatetitle, Tracks[].Genre, Tracks[].Bpm, Tracks[].Version, Tracks[].CDCode, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].IsAlternate, Tracks[].AlternateCount, Tracks[].RightHolderIDs, Tracks[].RightHolderIDs[].ID, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].MainTrackID, Tracks[].EvokeSegments, Tracks[].EvokeSegments[].Length, Tracks[].EvokeSegments[].Start, Tracks[].EvokeSegments[].Score, Facets, UseDatabase"
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By URL),Get External Audio File Ingestion Status,POST,{HM_ServiceAPI_URL}/getexternalaudiostatus/{HM_ServiceAPI_MemberToken},raw,"ExternalID, ExternalType",response.originalRequest,valid,Code
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By URL),Search Similar Tracks (By URL),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Limit",response.originalRequest,valid,
Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Free Text),Search Similar Tracks (By Free Text),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Prompt, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit",response.originalRequest,valid,
Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Track ID),Search Similar Tracks (By TrackID),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].TrackID, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit",request,valid,
Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload),Get Audio File Upload URL,POST,{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId",request,valid,"PresignedUploadUrl, ResourceUrl"
Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload),Confirm Audio File Upload Complete,POST,{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ReturnWaveformDatapoints, ReturnWaveformDatapointsUrl, ObjectId",request,valid,Code
Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload),Search Similar Tracks (By Audio File Upload),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit",request,valid,"TotalTracks, TotalAlbums, TotalLibraries, SearchParameters, SearchParameters.searchtype, SearchParameters.memberaccount, SearchParameters.region, SearchParameters.includeinactive, SearchParameters.mainonly, SearchParameters.alternativeonly, SearchParameters.parentsearchhistoryid, SearchParameters.resultview, SearchParameters.resultview.view, SearchParameters.resultview.sort_predefined, SearchParameters.resultview.skip, SearchParameters.resultview.limit, SearchParameters.resultview.saved, SearchParameters.resultview.mincount, SearchParameters.resultview.returntrackcategoryid, SearchParameters.resultview.facet_album, SearchParameters.resultview.facet_albumskip, SearchParameters.resultview.facet_albumlimit, SearchParameters.resultview.facet_library, SearchParameters.resultview.facet_libraryskip, SearchParameters.resultview.facet_librarylimit, SearchParameters.resultview.facet_style, SearchParameters.resultview.facet_styleskip, SearchParameters.resultview.facet_stylelimit, SearchParameters.resultview.facet_category, SearchParameters.resultview.facet_categoryskip, SearchParameters.resultview.facet_categorylimit, SearchParameters.resultview.facet_composer, SearchParameters.resultview.facet_composerskip, SearchParameters.resultview.facet_composerlimit, SearchParameters.resultview.bpm_range, SearchParameters.resultview.duration_range, SearchParameters.resultview.include_alternates, SearchParameters.resultview.include_rightholders, SearchParameters.resultview.include_lyrics, SearchParameters.resultview.include_keywords, SearchParameters.resultview.tracks_per_album, SearchParameters.resultview.facet_bpm, SearchParameters.resultview.facet_duration, SearchParameters.PreviousSearchTermBundles, SearchParameters.PreviousSearchTermBundles[].SearchHistoryID, SearchParameters.PreviousSearchTermBundles[].st_audio, SearchParameters.PreviousSearchTermBundles[].st_audio.searchtermid, SearchParameters.PreviousSearchTermBundles[].st_audio.audio, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].url, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].type, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].start, SearchParameters.PreviousSearchTermBundles[].st_audio.audio[].duration, Tracks, Tracks[].TrackNumber, Tracks[].LengthSeconds, Tracks[].Comment, Tracks[].Composer, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].Keywords, Tracks[].DisplayTitle, Tracks[].alternatetitle, Tracks[].Genre, Tracks[].Bpm, Tracks[].Version, Tracks[].CDCode, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].IsAlternate, Tracks[].AlternateCount, Tracks[].RightHolderIDs, Tracks[].RightHolderIDs[].ID, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].MainTrackID, Tracks[].EvokeSegments, Tracks[].EvokeSegments[].Length, Tracks[].EvokeSegments[].Start, Tracks[].EvokeSegments[].Score, Facets, UseDatabase"
Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By URL),Get External Audio File,POST,{HM_ServiceAPI_URL}/getexternalaudiobyurl/{HM_ServiceAPI_MemberToken},raw,"Url, Type, ReturnWaveformDataPoints, ReturnWaveformDataPointsUrl",request,valid,"ResourceUrl, Asset, Asset.MaxDuration, Asset.WaveformDatapoints"
